x1,x2,label
0.21783796,-0.085766256,0
-0.17071004,-0.7397558,2
-0.26482427,0.725769,0
-0.3277686,-0.9057277,1
0.1151537,0.061260574,0
0.28883463,0.32943875,2
0.99999976,-0.00065515557,0
0.35702544,-0.08875849,0
0.23463053,-0.054170515,0
0.14172737,-0.2502833,0
0.115864985,-0.4502127,0
0.68772405,0.3664537,1
0.27744454,-0.6123171,2
-0.11088843,-0.38571462,0
0.22652905,0.29411197,2
-0.01772049,-0.96973777,1
-0.4641581,-0.31663615,0
-0.3854822,0.13375092,1
-0.4004381,0.2852333,1
0.18230957,-0.13028887,0
-0.271331,0.6514382,0
0.34523302,0.32123858,2
0.13595082,0.2610332,2
0.058028504,-0.09388165,1
0.6644215,-0.46218506,1
0.025357142,-0.14495604,1
0.044151835,0.090097815,0
-0.18934934,-0.7696937,2
-0.098527975,0.16709414,2
0.6541398,0.35124084,1
-0.164467,0.85387015,0
0.45399177,-0.2571054,2
0.9944157,-0.066780664,0
0.5571796,0.5351854,1
-0.050003808,-0.0040459135,2
-0.1399811,0.20814429,2
-0.010153952,0.076249965,0
0.43840334,-0.86141247,1
-0.41388547,-0.14371556,1
0.5533548,0.42707703,0
0.17621675,0.11551247,0
0.1351113,0.7878294,0
-0.15616404,-0.1744191,1
0.46948144,-0.10738203,2
-0.13810864,0.1056965,2
-0.082688265,-0.012394509,2
-0.3333804,0.6371106,0
0.7254191,-0.10118125,1
0.64519006,0.06862515,1
-0.08690558,-0.7710375,2
-0.04017712,0.510126,1
-0.11109139,-0.13380751,1
0.81317306,-0.17962548,1
0.69373584,0.62902963,0
-0.3074104,0.76675844,0
-0.3941516,0.59339875,0
-0.06941285,-0.4529057,0
-0.15871014,-0.2791007,1
0.0039034737,-0.0054318616,1
0.3766732,-0.7201481,1
0.053252462,0.13718387,0
-0.2102094,-0.21544147,1
0.4371543,-0.15815267,2
-0.32401016,0.37420028,1
-0.4895185,0.49427074,0
-0.6307147,0.2017858,0
-0.2253756,-0.030460758,2
0.7210066,0.044976722,1
0.00272164,-0.09360593,1
-0.40853837,0.28535408,1
-0.08129734,-0.030857403,2
-0.7650789,-0.5572202,1
-0.71795595,-0.23633191,2
0.0019389832,-0.04678258,1
0.04709918,-0.45240438,0
-0.71788245,-0.3809734,2
-0.19407608,-0.06289622,1
0.15807489,0.62583,1
0.19186129,0.0587984,0
-0.158951,0.14335488,2
0.41399515,0.6283923,1
-0.5718678,-0.107801266,0
0.7669313,0.18656689,1
0.22037089,-0.012686908,0
-0.03902499,-0.73475033,2
0.46237123,-0.36965546,2
-0.17362103,-0.20795235,1
-0.14395215,0.6017503,1
-0.62453,0.37622428,0
0.9175143,-0.06383789,1
0.08829316,-0.12598792,1
0.81923276,-0.016453356,1
-0.18261093,-0.64348704,2
0.28053623,-0.640231,2
0.4206232,-0.42128292,2
-0.32096162,-0.06640575,1
0.23517081,-0.09644931,0
-0.64086676,-0.1378194,0
-0.05400585,0.08850248,2
0.4348878,0.25673816,2
0.44290674,-0.7869312,1
-0.33092752,0.117506325,1
0.61064225,0.3603328,1
-0.014899589,-0.1262139,1
-0.5686518,0.8062619,2
-0.67585844,0.34582642,0
0.043881312,0.22655874,2
-0.65986675,-0.17341867,0
0.45184594,0.17610106,2
-0.62429845,0.15031898,0
-0.91299695,0.07876235,2
0.50191575,-0.4111693,2
0.29787746,-0.49992293,2
-0.061831586,0.6021851,1
-0.4720029,-0.62425125,2
-0.07618754,0.5465549,1
0.17495635,-0.669836,2
-0.25188935,0.91929245,2
0.17399438,-0.26983708,0
-0.68850213,0.6878728,2
-0.016208522,-0.08543255,1
0.94978946,0.2544303,0
-0.45364806,0.5361777,0
-0.21055202,0.41821617,1
0.19021416,-0.5817316,2
0.23580012,-0.11158511,0
-0.19741297,0.8640219,0
-0.29667386,-0.70609236,2
-0.17917073,0.3887956,1
-0.4131065,-0.22742708,0
-0.091477565,-0.93869704,1
0.4777518,0.022060992,2
-0.1424341,-0.15526752,1
0.15959293,-0.14761123,0
0.6091553,-0.16878726,2
0.7038352,0.67217577,0
-0.009769524,0.0022861352,2
-0.8560252,-0.07756115,2
0.11029691,0.61221737,1
-0.031648416,0.7853157,0
-0.47859406,0.6855983,0
0.05682511,0.15371217,0
-0.11824744,0.14953065,2
0.023972338,-0.018203218,1
0.36369774,0.024891073,2
0.710328,0.5842447,0
-0.26488796,0.9469262,2
-0.5192802,-0.18674815,0
0.4743204,0.5315051,1
0.03296359,0.1053303,0
0.102706574,-0.014166142,0
-0.103834905,0.2209664,2
-0.33940613,-0.07606878,1
0.7126728,0.15388273,1
-0.43376115,0.029785568,1
0.15203083,-0.33133402,0
0.2512395,-0.05654973,0
-0.31721324,-0.19921696,1
0.013076725,-0.037943635,1
0.09013,-0.25901404,0
0.015331708,-0.068540275,1
-0.080097936,0.14297147,2
0.16488491,0.26373634,2
-0.13314328,-0.15013619,1
-0.008770029,0.62535655,1
-0.05988545,0.54521596,1
0.00015075895,0.01672173,0
0.17219001,-0.054476477,0
0.43651798,-0.10148847,2
-0.23738852,0.4870323,1
-0.042090192,-0.064386144,1
-0.13536476,-0.17857309,1
0.17370655,-0.27399078,0
-0.4505647,0.17010337,1
0.23082222,-0.8937517,1
-0.7227453,0.68140006,2
0.8108164,-0.455018,1
0.23964493,-0.54860437,2
0.05295612,0.06470411,0
0.2780622,-0.040083803,0
0.000684204,0.03343782,0
-0.033357993,-0.10870947,1
-0.5444658,0.6078654,0
0.08708376,0.24590516,2
0.005101855,-0.019407501,1
0.22294238,-0.9473652,1
-0.15564442,-0.36266032,0
0.7749466,0.58323514,0
0.015954433,-0.051077966,1
0.053593393,0.08083812,0
0.17669265,-0.051147047,0
-0.36188987,0.14884491,1
-0.38765818,-0.9218032,1
-0.5739825,-0.60798144,2
-0.14934093,-0.17152056,1
0.21560894,-0.16401593,0
-0.07064938,0.06645087,2
-0.111445524,-0.22471906,1
-0.73593163,0.47563222,2
-0.42016056,0.032357637,1
0.179353,-0.5991496,2
0.59513146,-0.67469746,1
-0.08775737,0.31231964,2
0.7204602,0.62918276,0
0.26308063,0.27596393,2
0.7991512,0.01695888,1
-0.046393428,-0.1849041,1
0.54331243,-0.14322287,2
-0.7602011,-0.30578968,2
0.25405282,0.30200142,2
-0.29616305,0.105465785,1
0.64757943,0.16752073,1
-0.082907766,-0.20096089,1
0.41674134,0.123945855,2
-0.23846965,0.56003803,1
-0.33747053,0.13787404,1
0.43740758,0.37874416,1
0.69057935,0.69052553,0
0.012440457,0.019832483,0
0.048667226,0.5026663,1
-0.20655859,-0.47546458,0
-0.14132689,-0.09550049,1
-0.41861728,-0.104395546,1
0.24349569,-0.2341233,0
-0.6421914,-0.17478399,0
-0.031558756,-0.029906588,2
0.757085,-0.09106184,1
0.38022277,-0.6103139,2
-0.1399145,-0.22806029,1
0.0,-0.0,1
-0.1819215,0.34266227,1
-0.91209525,0.18040752,2
0.037598845,-0.05122805,1
0.0024454882,0.006225899,0
-0.50581884,0.68249154,0
0.39038703,0.5717411,1
0.09152365,0.65922886,1
0.8415985,0.28836992,0
-0.12920351,-0.5123892,0
0.7364616,-0.0627547,1
-0.7867499,-0.063367344,2
0.7964506,-0.40382373,1
0.021509515,-0.104839645,1
-0.3702585,0.24042831,1
0.012699643,-0.010879246,1
0.025005015,0.45416167,1
0.48486957,0.5798405,1
-0.3562645,0.05953098,1
-0.3855815,0.9008861,2
-0.005322775,-0.19725262,1
0.018571824,-0.9529963,1
-0.11535821,0.14327873,2
-0.12388959,0.15358481,2
-0.3149145,0.63525784,0
-0.22778465,-0.7277253,2
0.22209154,0.14312376,0
-0.37234914,-0.3261358,0
0.5140194,0.6972248,0
-0.5569239,-0.8103521,1
-0.24313633,-0.77198166,2
0.011341846,-0.27401286,1
0.30814663,0.52880883,1
-0.19309409,-0.40071934,0
-0.12131131,0.54862076,1
0.6450725,-0.52138084,1
0.44891864,0.5226302,1
-0.17131682,0.045505825,2
-0.12428921,-0.026535608,2
0.48252648,0.15999782,2
0.8514835,0.3977418,0
-0.025556128,0.2898454,2
0.26529938,0.23008044,2
0.9881857,-0.059352756,0
-0.5267339,-0.23122483,0
-0.659444,0.5820888,2
0.21810234,0.5141842,1
-0.5248691,-0.4766929,2
-0.41375563,-0.55923,2
0.22080334,-0.20457004,0
-0.74484205,-0.30802387,2
-0.5074366,-0.3300881,0
-0.484001,-0.72643954,2
0.06350189,-0.67259425,2
0.22805947,0.03526069,0
-0.08536251,-0.42973083,0
0.037788022,-0.9959389,1
0.24688827,0.53803205,1
-0.38883984,-0.22947843,0
-0.54601413,-0.052108493,0
0.036962703,0.086042054,0
0.4162064,0.51075685,1
-0.5759561,-0.29141963,0
0.008043749,-0.03589917,1
0.40382048,0.07845582,2
-0.12710615,0.041724306,2
0.79240394,-0.019430973,1
-0.22550221,-0.41034824,0
-0.569319,-0.103191204,0
0.01621591,0.011820505,0
0.41056228,-0.8453765,1
-0.21475445,-0.14212564,1
0.120982185,-0.21206401,0
-0.05932461,0.01023284,2
0.06790354,-0.07834813,1
-0.73332053,0.61414564,2
-0.38160262,-0.29925874,0
0.49786812,0.60382426,0
0.30125967,0.67128503,0
0.07389758,-0.9469538,1
0.23160128,-0.63820565,2
0.14894158,-0.4155882,0
0.43801367,0.18354724,2
-0.0026623488,-0.09026175,1
-0.58928955,0.18858293,0
0.123399615,0.059795126,0
0.7398994,-0.3965478,1
0.10308056,-0.3461831,0
-0.14428413,0.39237282,1
0.1568398,0.102367885,0
-0.006684042,-0.00025654054,2
-0.06032986,-0.15596218,1
0.64900327,-0.17522126,1
0.026238728,0.075857826,0
-0.08507409,0.20005344,2
-0.20390011,0.39533034,1
-0.30352998,0.35211605,1
0.15150706,0.07835332,0
-0.34458265,-0.13813056,1
-0.15250975,-0.7300598,2
0.35500205,0.18720463,2
0.21653113,0.85598063,0
-0.09532271,0.2925545,2
-0.05482701,0.015054069,2
-0.0688753,0.33752596,2
0.029585356,-0.1815517,1
-6.6032794e-06,0.06020067,0
-0.6867457,-0.44082162,2
-0.018820923,-0.13920164,1
0.26804227,-0.07218478,0
0.20241138,0.02551652,0
0.8330549,0.3654748,0
-0.06898969,0.9506773,0
-0.09240227,-0.18563163,1
-0.49326688,0.831214,2
0.016496154,0.036586843,0
-0.48146948,-0.37242118,0
-0.29345816,0.022433288,1
0.041106682,0.4025891,2
-0.74174315,0.07786968,0
0.5064209,-0.6986367,1
-0.109869026,0.01048182,2
-0.13165946,0.0657345,2
0.72003627,-0.2706728,1
0.7591486,0.008602349,1
-0.084247194,0.08601682,2
-0.56765795,-0.1557186,0
-0.013067017,-0.0028673995,2
-0.15537918,0.46291322,1
-0.05298224,0.3978252,1
-0.28883895,-0.4623431,0
0.6249427,0.54534674,0
0.23082994,0.4073751,2
0.5457642,-0.34466255,2
0.13066016,0.21019046,0
-0.30509198,-0.22304097,0
0.56908834,0.43404177,1
0.54805845,0.35350066,1
0.19630797,-0.2871344,0
0.13540256,-0.3564178,0
